r,theta,phi
6880.39525,79.7961283,-64.5951539
6881.1228200000005,83.5971774,-64.6931936
6881.83103,87.39756,-64.7935273
6882.5162,91.1972262,-64.8947999
6883.175230000001,94.9961302,-64.99569029999999
6883.805480000001,98.79423,-65.094864
6884.4047,102.5914864,-65.1909247
6884.97117,106.3878611,-65.28236249999999
6885.50366,110.1833165,-65.3674917
6886.00142,113.9778141,-65.44437429999999
6886.46431,117.7713133,-65.5107209
6886.892610000001,121.563769,-65.5637579
6887.28696,125.3551279,-65.6000437
6887.6483,129.14532309999998,-65.6152049
6887.97778,132.9342666,-65.6035495
6888.27675,136.7218374,-65.55747869999999
6888.54669,140.5078631,-65.4665651
6888.78916,144.2920906,-65.3160477
6889.005730000001,148.0741344,-65.0842665
6889.19791,151.85338480000001,-64.7380415
6889.36721,155.6288314,-64.2237892
6889.51507,159.3986941,-63.448967399999994
6889.6428399999995,163.15956169999998,-62.238937699999994
6889.751770000001,166.90406059999998,-60.220979099999994
6889.84292,170.6130223,-56.439844099999995
6889.91701,174.21821649999998,-47.5917199
6889.97438,177.2723674,-15.023553399999999
6890.01508,176.8148061,64.0335855
6890.038810000001,173.55448969999998,88.4000361
6890.04496,169.91841,95.7471703
6890.03271,166.20036449999998,99.06406349999999
6890.00104,162.452242,100.88380839999999
6889.9487,158.68975319999998,101.9918699
6889.87419,154.9191985,102.70756829999999
6889.77591,151.1435691,103.1845786
6870.082,10.791044400000004,109.9170317
6869.88101,7.109880000000004,116.1447391
6869.75147,3.699325900000005,135.006601
6869.69437,2.4192694000000046,-151.4843952
6869.71002,5.201462500000005,-108.63319759999999
6869.7980800000005,8.7915979,-98.00631949999999
6869.95759,12.512506200000004,-93.7280334
6870.18699,16.274671100000006,-91.5106074
6870.48407,20.05480510000001,-90.2023648
6870.84609,23.844270300000005,-89.3725106
6871.26966,27.639127600000002,-88.8245621
6871.75082,31.437317300000004,-88.45633319999999
6872.28506,35.237649700000006,-88.20946789999999
6872.86733,39.039382700000004,-88.0482138
6873.492179999999,42.8420227,-87.9494277
6874.15394,46.645223300000005,-87.89744669999999
6874.84684,50.4487303,-87.8812702
6875.56495,54.25235,-87.892922
6876.30233,58.0559293,-87.92645449999999
6877.053089999999,61.859343,-87.97731739999999
6877.81146,65.6624869,-88.04194369999999
6878.57181,69.46527209999999,-88.1174705
6879.328640000001,73.2676208,-88.20154409999999
6880.076770000001,77.0694635,-88.29217969999999
6880.81142,80.87073720000001,-88.3876579
6881.5283500000005,84.6713846,-88.4864458
6882.22378,88.4713538,-88.5871332
6882.894429999999,92.2705973,-88.6883792
6883.53754,96.0690715,-88.78886279999999
6884.1507599999995,99.8667362,-88.887237
6884.73222,103.6635534,-88.98207889999999
6885.28048,107.4594864,-89.07183549999999
6885.79454,111.2544984,-89.1547578
6886.27387,115.0485516,-89.22881939999999
6886.7183700000005,118.8416045,-89.2916084
6887.12838,122.6336101,-89.3401832
6887.50461,126.4245118,-89.3708678
6887.84802,130.2142377,-89.37895999999999
6888.159799999999,134.0026917,-89.3582964
6888.44132,137.78974,-89.30058729999999
6888.69412,141.5751905,-89.194362
6888.91984,145.358758,-89.02322769999999
6889.120150000001,149.1400047,-88.7628562
6889.29671,152.9182306,-88.37546479999999
6889.45109,156.69225749999998,-87.7989746
6889.5847300000005,160.4599654,-86.9237436
6889.69887,164.2171698,-85.5364735
6889.79458,167.95441979999998,-83.1615223
6889.87276,171.64534559999998,-78.4929736
6889.93408,175.18287279999998,-66.4396439
6889.97886,177.6966369,-16.300192
6890.007100000001,175.98745159999999,51.048020799999996
6890.01839,172.544142,67.4368669
6890.0120099999995,168.8745733,73.14667659999999
6889.98705,165.1453671,75.9088901
6889.94243,161.3921978,77.4796241
6889.87682,157.62696019999998,78.45560909999999
6889.78871,153.8546976,79.0931757
6889.67646,150.0778918,79.5202886
6870.069100000001,9.7395566,87.4201403
6869.89834,6.097229200000001,95.5360424
6869.79907,2.919621399999997,124.18563429999999
6869.77207,2.9840772000000015,-155.6367671
6869.817440000001,6.190192100000004,-128.1260998
6869.93466,9.836922700000002,-120.2173174
6870.12257,13.573610000000002,-116.7293447
6870.379370000001,17.34212620000001,-114.8383569
6870.70259,21.1253557,-113.6947199
6871.089120000001,24.916499400000006,-112.9590492
6871.53526,28.712317900000002,-112.4698739
